BotName,TestId,StartTime,EndTime,Status,Error

goToCell, "PD-T41808,PD-T41809", "2026-01-05T06:08:36.269170Z","2026-01-05T06:08:46.163848Z", Pass,
goToCell, "PD-T41808,PD-T41809", "2026-01-05T06:09:49.177640Z","2026-01-05T06:09:50.531003Z", Pass,
PD-T42104_goToSpecificCell, "PD-T42104", "2026-01-05T06:13:54.297515Z","2026-01-05T06:13:55.284560Z", Fail,No tables found on this slide.
PD-T42104_goToSpecificCell, "PD-T42104", "2026-01-05T06:15:44.159642Z","2026-01-05T06:15:44.185914Z", Fail,Unable to find '/Users/Testing Automation/Pre-Requisites/Packages/Mac-Keynote/FormatText/FormatTableCell.key'. Verify the path, then try again.
PD-T42104_goToSpecificCell, "PD-T42104", "2026-01-05T06:16:29.152149Z","2026-01-05T06:16:29.179318Z", Fail,Unable to find '/Users/Testing Automation/Pre-Requisites/Packages/Mac-Keynote/FormatText/FormatTableCell.key'. Verify the path, then try again.
PD-T42093_goToCellWithInvalidAddress, "PD-T42093", "2026-01-05T06:18:18.013474Z","2026-01-05T06:18:18.892302Z", Fail,Invalid cell address 'A-1'. Enter a valid address such as "A1", then try again.
PD-T42093_goToCellWithInvalidAddress, "PD-T42093", "2026-01-05T06:19:20.802520Z","2026-01-05T06:19:21.385590Z", Fail,Invalid cell address 'A-1'. Enter a valid address such as "A1", then try again.
PD-T42093_goToCellWithInvalidAddress, "PD-T42093", "2026-01-05T06:21:35.037431Z","2026-01-05T06:21:35.404239Z", Pass,Invalid cell address 'A-1'. Enter a valid address such as "A1", then try again.
setCellFormulaAndsetValue, "PD-T41810,PD-T41811, PD-T41813, PD-T41814, PD-T41812", "2026-01-05T06:26:36.313788Z","2026-01-05T06:26:37.700782Z", Fail,Invalid formula 'A1+B1'. Enter a valid formula, then try again.
setCellFormulaAndsetValue, "PD-T41810,PD-T41811, PD-T41813, PD-T41814, PD-T41812", "2026-01-05T06:35:10.086987Z","2026-01-05T06:35:10.818525Z", Fail,Invalid formula 'A1+B1'. Enter a valid formula, then try again.
setCellFormulaAndsetValue, "PD-T41810,PD-T41811, PD-T41813, PD-T41814, PD-T41812", "2026-01-05T06:37:38.298422Z","2026-01-05T06:37:38.977598Z", Fail,Invalid cell address 'A6'. Enter a valid address such as "A1", then try again.
setCellFormulaAndsetValue, "PD-T41810,PD-T41811, PD-T41813, PD-T41814, PD-T41812", "2026-01-05T06:41:54.184397Z","2026-01-05T06:41:54.804695Z", Fail,Invalid cell address 'A6'. Enter a valid address such as "A1", then try again.
setCellFormulaAndsetValue, "PD-T41810,PD-T41811, PD-T41813, PD-T41814, PD-T41812", "2026-01-05T06:42:55.523007Z","2026-01-05T06:42:56.065249Z", Fail,Invalid cell address 'A6'. Enter a valid address such as "A1", then try again.
